OfficeHours_ID,OfficeRecordNo,SequenceNo,DayInt,DayOfWeek,StartTime,EndTime,Comments
1,3043,2,2,Monday,12/30/1899,12/30/1899,
2,3043,4,3,Tuesday,12/30/1899,12/30/1899,
3,3043,6,4,Wednesday,12/30/1899,12/30/1899,
4,3043,8,5,Thursday,12/30/1899,12/30/1899,
5,3043,10,6,Friday,12/30/1899,12/30/1899,
14,700,2,2,Monday,12/30/1899,12/30/1899,
15,700,4,2,Monday,12/30/1899,12/30/1899,
16,700,6,3,Tuesday,12/30/1899,12/30/1899,
17,700,8,4,Wednesday,12/30/1899,12/30/1899,
18,700,10,4,Wednesday,12/30/1899,12/30/1899,
19,700,12,5,Thursday,12/30/1899,12/30/1899,
20,700,14,5,Thursday,12/30/1899,12/30/1899,
21,700,16,6,Friday,12/30/1899,12/30/1899,
22,1553,2,2,Monday,12/30/1899,12/30/1899,
23,1553,4,3,Tuesday,12/30/1899,12/30/1899,
24,1553,6,4,Wednesday,12/30/1899,12/30/1899,
25,1553,8,5,Thursday,12/30/1899,12/30/1899,
26,1553,10,6,Friday,12/30/1899,12/30/1899,
27,1563,2,2,Monday,12/30/1899,12/30/1899,
28,1563,4,3,Tuesday,12/30/1899,12/30/1899,
29,1563,6,4,Wednesday,12/30/1899,12/30/1899,
30,1563,8,5,Thursday,12/30/1899,12/30/1899,
31,1563,10,6,Friday,12/30/1899,12/30/1899,
32,554,2,2,Monday,12/30/1899,12/30/1899,
33,554,4,3,Tuesday,12/30/1899,12/30/1899,
34,554,6,4,Wednesday,12/30/1899,12/30/1899,
35,554,8,5,Thursday,12/30/1899,12/30/1899,
36,554,10,6,Friday,12/30/1899,12/30/1899,
42,54599,2,2,Monday,12/30/1899,12/30/1899,
43,54599,4,3,Tuesday,12/30/1899,12/30/1899,
44,54599,6,4,Wednesday,12/30/1899,12/30/1899,
45,54599,8,5,Thursday,12/30/1899,12/30/1899,
46,54599,10,6,Friday,12/30/1899,12/30/1899,
47,54756,2,2,Monday,12/30/1899,12/30/1899,
48,54756,4,3,Tuesday,12/30/1899,12/30/1899,
49,54756,6,4,Wednesday,12/30/1899,12/30/1899,
50,54756,8,5,Thursday,12/30/1899,12/30/1899,
51,54756,10,6,Friday,12/30/1899,12/30/1899,
52,173,2,2,Monday,12/30/1899,12/30/1899,
53,173,4,3,Tuesday,12/30/1899,12/30/1899,
54,173,6,4,Wednesday,12/30/1899,12/30/1899,
55,173,8,5,Thursday,12/30/1899,12/30/1899,
56,173,10,6,Friday,12/30/1899,12/30/1899,
57,174,2,2,Monday,12/30/1899,12/30/1899,
58,174,4,3,Tuesday,12/30/1899,12/30/1899,
59,174,6,4,Wednesday,12/30/1899,12/30/1899,
60,174,8,5,Thursday,12/30/1899,12/30/1899,
61,176,2,2,Monday,12/30/1899,12/30/1899,
62,176,4,3,Tuesday,12/30/1899,12/30/1899,
63,176,6,4,Wednesday,12/30/1899,12/30/1899,
64,176,8,5,Thursday,12/30/1899,12/30/1899,
65,176,10,6,Friday,12/30/1899,12/30/1899,
66,863,2,2,Monday,12/30/1899,12/30/1899,
67,863,4,3,Tuesday,12/30/1899,12/30/1899,
68,863,6,4,Wednesday,12/30/1899,12/30/1899,
69,863,8,5,Thursday,12/30/1899,12/30/1899,
70,863,10,6,Friday,12/30/1899,12/30/1899,
76,1204,2,2,Monday,12/30/1899,12/30/1899,
77,1204,4,3,Tuesday,12/30/1899,12/30/1899,
78,1204,6,4,Wednesday,12/30/1899,12/30/1899,
79,1204,8,5,Thursday,12/30/1899,12/30/1899,
80,1204,10,6,Friday,12/30/1899,12/30/1899,
