PRACT_ID,FacCode,Current_status,Status_category,Primary_facility,Department_name,Section_Name
1002,BH,Active,Affiliate,TRUE,Medicine,Endocrinology & Metabolism
1676,BH,Active,AHP- Active,FALSE,Surgery,Cardiothoracic Surgery
3221,BH,Active,Active with Privileges,TRUE,Anesthesiology,Interventional Pain Management
3479,BH,Active,Active with Privileges,FALSE,Medicine,Gastroenterology
3672,BH,Active,Active with Privileges,TRUE,Emergency Medicine,
3978,BH,Active,Active with Privileges,FALSE,Medicine,Hospitalists
4105,BH,Active,Active with Privileges,FALSE,Medicine,Pulmonary Disease
4485,BH,Active,Affiliate,TRUE,Surgery,Podiatric Surgery
5134,BH,Active,Active with Privileges,TRUE,Psychiatry,
5727,BH,Active,Leave of Abscence,FALSE,Surgery,Podiatric Surgery
5968,BH,Active,Active with Privileges,TRUE,Emergency Medicine,
6188,BH,Active,AHP- Active,TRUE,Surgery,Anesthesiology
6322,BH,Active,Active with Privileges,FALSE,Medicine,Pulmonary Disease
6521,BH,Active,Affiliate,TRUE,Surgery,Ophthalmology
6779,BH,Active,Active with Privileges,FALSE,Medicine,Gastroenterology
7555,BH,Active,AHP- Active,FALSE,Surgery,
7616,BH,Active,AHP- Active,TRUE,Medicine,Hospitalists
8051,BH,Active,AHP- Active,FALSE,Surgery,Cardiothoracic Surgery
8629,BH,Active,Telemedicine,FALSE,Medicine,TeleNeuro
8956,BH,Active,AHP- Active,TRUE,Emergency Medicine,
9057,BH,Active,AHP- Active,FALSE,Medicine,Cardiovascular Disease
9227,BH,Active,Active with Privileges,FALSE,Medicine,Gastroenterology
9549,BH,Active,Active with Privileges,FALSE,Medicine,Gastroenterology
9578,BH,Active,Active with Privileges,FALSE,Medicine,Pulmonary Disease
9904,BH,Active,Active with Privileges,TRUE,Anesthesiology,Interventional Pain Management
10217,BH,Active,Active with Privileges,FALSE,Medicine,Cardiovascular Disease
50013,BH,Active,Telemedicine,TRUE,Medicine,Neurology
50030,BH,Active,Active with Privileges,TRUE,Surgery,Plastic & Reconstructive Surgery
50039,BH,Active,Active with Privileges,TRUE,Medicine,Cardiovascular Disease
50068,BH,Active,Active with Privileges,TRUE,Surgery,Orthopaedic Surgery
50081,BH,Active,Affiliate,TRUE,Medicine,Internal Medicine
50121,BH,Active,Active with Privileges,TRUE,Surgery,Anesthesiology
50187,BH,Active,Telemedicine,TRUE,Radiology,Telemedicine
50196,BH,Active,Courtesy,TRUE,Radiology,Telemedicine
50198,BH,Active,Active with Privileges,TRUE,Surgery,Orthopaedic Surgery
50223,BH,Active,Consulting,TRUE,Radiology,
50236,BH,Active,Courtesy,TRUE,Radiology,Telemedicine
50249,BH,Active,Courtesy,TRUE,Medicine,Cardiovascular Disease
50258,BH,Active,Active with Privileges,FALSE,Surgery,Anesthesiology
50261,BH,Active,Active with Privileges,TRUE,Surgery,Otolaryngology
50267,BH,Active,Active with Privileges,TRUE,Surgery,Urology
50281,BH,Active,Active with Privileges,TRUE,Surgery,Otolaryngology
50288,BH,Active,Consulting,TRUE,Radiology,
50314,BH,Active,Consulting,FALSE,Medicine,TeleNeuro
50317,BH,Active,Affiliate,TRUE,Surgery,Clinical Dentistry
50385,BH,Active,Active with Privileges,FALSE,Medicine,Hospitalists
50387,BH,Active,Active with Privileges,TRUE,Surgery,Urology
50396,BH,Active,Active with Privileges,TRUE,Medicine,Hospitalists
50414,BH,Active,AHP- Active,TRUE,Medicine,Nephrology
50416,BH,Active,Active with Privileges,TRUE,Medicine,Pulmonary Disease
50438,BH,Active,AHP- Active,TRUE,Medicine,Gastroenterology
50460,BH,Active,Courtesy,FALSE,Surgery,Obstetrics & Gynecology
50476,BH,Active,Consulting,TRUE,Radiology,
50484,BH,Active,Affiliate,TRUE,Medicine,Internal Medicine
50485,BH,Active,Active with Privileges,TRUE,Medicine,Cardiovascular Disease
50511,BH,Active,AHP- Active,TRUE,Surgery,Orthopaedic Surgery
50525,BH,Active,Active with Privileges,TRUE,Emergency Medicine,
50547,BH,Active,Active with Privileges,TRUE,Emergency Medicine,
50548,BH,Active,Active with Privileges,FALSE,Surgery,Neurologic Surgery
50560,BH,Active,Consulting,TRUE,Radiology,Telemedicine
50577,BH,Active,Telemedicine,TRUE,Radiology,Telemedicine
50578,BH,Active,Affiliate,FALSE,Surgery,Ophthalmology
50582,BH,Active,Active with Privileges,TRUE,Radiology,Telemedicine
50626,BH,Active,Active with Privileges,TRUE,Anesthesiology,Interventional Pain Management
50648,BH,Active,Affiliate,TRUE,Surgery,Oral and Maxillofacial Surgery
50692,BH,Active,Active with Privileges,TRUE,Medicine,Dermatology
50716,BH,Active,Consulting,TRUE,Radiology,Telemedicine
50733,BH,Active,Active with Privileges,TRUE,Medicine,Internal Medicine
50753,BH,Active,Active with Privileges,TRUE,Surgery,General Surgery
50761,BH,Active,Active with Privileges,FALSE,Surgery,Anesthesiology
50781,BH,Active,Active with Privileges,TRUE,Medicine,Dermatology
50802,BH,Active,Active with Privileges,FALSE,Medicine,Gastroenterology
50803,BH,Active,Telemedicine,TRUE,Radiology,
50818,BH,Active,Consulting,TRUE,Radiology,Radiation Oncology
50821,BH,Active,AHP- Active,TRUE,Surgery,Cardiothoracic Surgery
50837,BH,Active,Telemedicine,TRUE,Radiology,Telemedicine
50839,BH,Active,Affiliate,TRUE,Surgery,Ophthalmology
50843,BH,Active,Active with Privileges,TRUE,Surgery,Anesthesiology
50846,BH,Active,Affiliate,TRUE,Surgery,Ophthalmology
50872,BH,Active,Consulting,TRUE,Radiology,Telemedicine
50889,BH,Active,Active with Privileges,TRUE,Emergency Medicine,
50915,BH,Active,Consulting,FALSE,Surgery,Podiatric Surgery
50932,BH,Active,Active with Privileges,TRUE,Surgery,Otolaryngology
50968,BH,Active,Active with Privileges,TRUE,Medicine,Hospitalists
50975,BH,Active,Active with Privileges,TRUE,Surgery,Anesthesiology
50984,BH,Active,Courtesy,TRUE,Radiology,Interventional Radiology
51001,BH,Active,Consulting,TRUE,Radiology,Telemedicine
