Office_Record_No,Office_name,Address_1,Address_2,City,State,Zip_Code,Phone_number_2,Office_contact,HandicapAccess,Fax_number2
735,"Berks Plastic Surgery Institute, PC",50 Commerce Drive,,Wyomissing,PA,19610-1068,,,FALSE,
745,Berks Prosthodontics,955 Berkshire Blvd,Suite 104,Wyomissing,PA,19610,,,FALSE,
747,Berks Radiation Oncology Associates,Reading Hospital; Cancer Center,PO Box 16052,Reading,PA,19612-6052,,,FALSE,
747,Berks Radiation Oncology Associates,Reading Hospital; Cancer Center,PO Box 16052,Reading,PA,19612-6052,,,FALSE,
749,Berks VA Outpatiient Clinic,2762 Century Blvd,Suite 120,Wyomissing,PA,19610,,,FALSE,
756,Berks-Lebanon Podiatry Centers,200 Reading Avenue,Suite 101,West Reading,PA,19611,,,FALSE,
780,Berkshire Heights Urgent Care,950B N Wyomissing Blvd,,Wyomissing,PA,19610,,,FALSE,
781,Berkshire Orthopedic Associates,2201 Ridgewood Road,Suite 250,Wyomissing,PA,19610-1189,,,FALSE,
781,Berkshire Orthopedic Associates,2201 Ridgewood Road,Suite 250,Wyomissing,PA,19610-1189,,,FALSE,
781,Berkshire Orthopedic Associates,2201 Ridgewood Road,Suite 250,Wyomissing,PA,19610-1189,,,FALSE,
789,Berkshire Podiatry Center,50 Berkshire Court,,Wyomissing,PA,19610-1219,,Brenda Ludwig (BLLBERKSHIRE@HOTMAIL.COM),FALSE,
789,Berkshire Podiatry Center,50 Berkshire Court,,Wyomissing,PA,19610-1219,,Brenda Ludwig (BLLBERKSHIRE@HOTMAIL.COM),FALSE,
789,Berkshire Podiatry Center,50 Berkshire Court,,Wyomissing,PA,19610-1219,,Brenda Ludwig (BLLBERKSHIRE@HOTMAIL.COM),FALSE,
807,Bernville Footcare Center,7187 Bernville Road,,Bernville,PA,19506,,,FALSE,
811,Bone and Joint Care Center,301 S 7th Avenue,Suite 365,West Reading,PA,19611,,Mary Longenecker,FALSE,
811,Bone and Joint Care Center,301 S 7th Avenue,Suite 365,West Reading,PA,19611,,Mary Longenecker,FALSE,
811,Bone and Joint Care Center,301 S 7th Avenue,Suite 365,West Reading,PA,19611,,Mary Longenecker,FALSE,
811,Bone and Joint Care Center,301 S 7th Avenue,Suite 365,West Reading,PA,19611,,Mary Longenecker,FALSE,
814,Family Medicine - Tower Health Medical Group,146 South Reading Avenue,Suite 101,Boyertown,PA,19512,(610)898-5460,Lindsey Prendergast,FALSE,
12,Berks Urological Surgery Center,100 Broadcasting Road,Suite 210,Wyomissing,PA,19610,,,FALSE,
101,Internal Medicine Updated title - Tower Health Medical Group,1800 Hampden Blvd,,Reading,PA,19604,(610)376-4033,Julie Shade,FALSE,
137,Progressive Vision Institute,201 East Laurel Blvd,,Pottsville,PA,17901,,Dianna Monaghan,FALSE,
