PRACT_ID,LanguageSpoken
10004,Hindi
10004,Punjabi
10027,Russian
10027,Ukrainian
10033,Spanish
10064,Spanish
10071,Hindi
10071,Telugu
10079,Hindi
10079,Gujarati
10105,Korean
10118,Spanish
10155,Urdu
10155,Hindi
10160,Vietnamese
10182,Spanish
10403,Vietnamese
10409,Spanish
10492,Filipino
10492,Spanish
10492,Japanese
10492,French
10497,Spanish
10498,Hindi
10498,Urdu
10530,Polish
10583,Spanish
10596,Hindi
10596,Urdu
1090,Vietnamese
1090,French
1261,Armenian
1692,Italian
1733,Spanish
1733,German
1750,Spanish
1750,Filipino
1974,Italian
1974,Spanish
1974,French
2039,German
2171,Hindi
2171,Urdu
2171,Italian
2171,Spanish
2185,Arabic
2185,Hebrew
2273,Spanish
2325,Afrikaans
2440,Hebrew
2590,German
2880,Chinese
2880,Hindi
2887,Spanish
2894,Spanish
2928,Arabic
3056,Tagalog
3123,Russian
3128,Spanish
3144,Spanish
3182,Spanish
3184,Spanish
3248,Vietnamese
3248,French
3250,Bengali;Bangla
3267,Spanish
3269,Urdu
3302,Italian
3323,Spanish
3379,Chinese
3384,Hindi
3430,Hindi
3494,Hindi
3494,Tamil
3617,Russian
3619,Hindi
3623,French
3623,Romanian
3664,Chinese
3702,Russian
3707,Urdu
3707,Punjabi
3720,Persian (Farsi)
3814,Chinese
3832,Afrikaans
3853,Chinese
3895,Hebrew
3895,Russian
3958,Spanish
3958,French
4094,Taiwanese
4105,Korean
4117,Polish
4117,Russian
4201,Hindi
4283,French
4485,Spanish
5119,Russian
5189,Hindi
5189,Tamil
5447,Polish
5674,Mandarin
5674,Chinese
5694,Hindi
6767,German
7024,Hindi
7024,Telugu
7090,German
7090,Chinese
7462,Spanish
8142,Spanish
8220,Marathi
8250,Urdu
8250,Hindi
8395,Mandarin
8395,Spanish
8551,Russian
8551,Ukrainian
8675,Russian
8716,Polish
8726,Spanish
8728,Russian
8751,French
8754,Arabic
8770,Chinese
8770,Chinese
8781,Spanish
8942,German
8942,Turkish
8942,Turkish
8999,French
8999,Arabic
9085,Hindi
9085,Punjabi
9085,Urdu
9179,Spanish
9229,Hindi
9229,Punjabi
9229,Gujarati
9306,Hindi
9306,Telugu
9323,Hindi
9393,Spanish
9410,Hindi
9410,Gujarati
9411,Hindi
9463,Mandarin
9484,Russian
9517,Spanish
9529,Spanish
9530,Hindi
9530,Telugu
9551,Chinese
9556,Spanish
9557,Spanish
9564,French
9567,Spanish
9578,Chinese
9595,Vietnamese
9597,Telugu
9597,Hindi
9598,Spanish
9622,Hindi
9645,Hindi
9681,Gujarati
9681,Hindi
9690,Hindi
9690,Spanish
9787,Spanish
9877,Russian
9904,Spanish
9955,Spanish
9955,Korean
9969,Mandarin
9969,Hindi
9999,Armenian
10689,Russian
10689,Ukrainian
10696,Ukrainian
10696,Russian
10696,Spanish
9840,English
10708,Cantonese
10713,Spanish
10714,Punjabi
10714,Urdu
10714,Hindi
10714,Pashto;Pushto
10729,English
10729,Urdu
10724,Bengali;Bangla
10712,Gujarati
10726,Arabic
10726,French
10723,Spanish
10718,Spanish
10718,French
10763,English
10717,Tamil
10768,Arabic
10772,Telugu
10784,English
10757,Tagalog
50264,Cantonese
50375,Spanish
50635,Punjabi
50635,Urdu
50714,Spanish
50039,Russian
50108,Hindi
50121,Arabic
9556,Spanish
50289,Spanish
50351,Spanish
50375,English
50418,Spanish
50453,Spanish
50529,Spanish
50144,Spanish
50273,Spanish
50301,English
50306,Malayalam
50314,English
50314,Hindi
50314,Punjabi
50351,French
50418,French
50500,Spanish
50876,Arabic
50932,French
50264,Chinese
50273,Polish
50289,French
50418,Arabic
50933,French
50933,Spanish
50529,Filipino
50715,Arabic
51021,Arabic
50756,Russian
50761,Spanish
50635,Hindi
50915,Russian
50761,Portuguese
51018,Spanish
51021,French
50813,Chinese
51022,Urdu
50843,Malayalam
50932,Ukrainian
51140,Gujarati
50933,Creole
51111,Hindi
51274,Mandarin
51299,Arabic
51022,Punjabi
51316,Spanish
51405,Mandarin
51408,Spanish
51084,Portuguese
51084,Spanish
51111,Kannada
51113,Spanish
51240,English
51689,Mandarin
51257,Spanish
51408,Polish
51689,Spanish
51553,Chinese
51694,Some Spanish
51912,English
51614,Korean
51524,Hindi
51614,Spanish
51689,Taiwanese
52082,English
52044,Spanish
5917,Telugu
52185,Greek
52044,French
52210,Hebrew
52210,Russian
52045,Korean
52334,English
52421,English
52449,Chinese
52453,Tamil
52470,German
52455,Chinese
52340,German
52540,Some Spanish
52449,Mandarin
52487,Hindi
52571,Hindi
52642,Punjabi
52583,Spanish
52744,Japanese
52832,German
52795,Hindi
5917,Hindi
52795,Punjabi
52288,Marathi
52795,Urdu
53358,English
53067,Arabic
53067,French
53162,Hindi
53344,Russian
53576,Spanish
53689,Gujarati
3978,Hindi
3978,Urdu
3978,Punjabi
53529,English
53597,Arabic
53593,English
53730,Persian (Farsi)
53730,German
52487,Punjabi
53646,Hebrew
52571,Telugu
53689,Hindi
53828,Hindi
53886,Spanish
53969,Arabic
53891,English
53960,Hindi
52852,English
54024,Spanish
53828,Gujarati
54025,French
53863,Hebrew
54031,Mandarin
53885,Hungarian
54025,Creole
54124,Persian (Farsi)
54152,Urdu
54213,Gujarati
54059,Arabic
53019,Persian (Farsi)
54110,English
53066,Vietnamese
54146,Hindi
54152,Russian
54440,Telugu
54241,Tamil
54242,Spanish
54454,Lithuanian
54250,German
54494,Tamil
6087,Tagalog
5254,Hindi
54440,Hindi
54479,Hindi
53249,Malayalam
53409,English
53597,Russian
53865,Spanish
53897,Yoruba
53960,Punjabi
53960,Urdu
53993,Russian
54017,Spanish
54025,Urdu
54146,Spanish
54213,Hindi
54257,French
5134,Hindi
54454,Spanish
5254,Gujarati
54692,Hindi
54560,Arabic
54785,Turkish
54678,Chinese
54607,Filipino
54607,Mandarin
54608,Hindi
54680,Krio
7747,Italian
54707,Chinese
54598,Hindi
54692,Telugu
7747,French
54934,Spanish
54949,Spanish
55058,Urdu
54692,Tamil
7747,German
54768,English
55206,Spanish
54825,Tamil
55247,Russian
55266,Malayalam
54949,English
55280,Hindi
55287,Hindi
55309,Spanish
54965,English
55311,Hindi
55119,English
55160,Vietnamese
55205,Spanish
55206,English
55264,Hindi
55287,Urdu
54966,Korean
55150,Spanish
5417,Spanish
55142,Persian (Farsi)
55146,Spanish
55147,Spanish
55148,Spanish
55198,Italian
55288,Chinese
55302,Hindi
55198,English
55287,Marathi
55287,Sindhi
55302,Nepali
10716,Hindi
10716,Marathi
10716,Punjabi
55632,Persian (Farsi)
55632,Turkish
55431,Hindi
55431,Telugu
51240,Spanish
55561,Spanish
55653,Mandarin
55653,Burmese
55735,French
55735,Spanish
55735,Hebrew
55735,Russian
55734,Korean
55716,Spanish
55571,Vietnamese
55886,Spanish
